n comb loop quad
10 0.0 0.0 0.0
11 0.0 0.0 0.0
12 0.0 0.0 0.00020022392272949218
13 0.0 0.00019974708557128905 0.0
14 0.0 0.0 0.0
15 0.00020008087158203126 0.0 0.0
16 0.0 0.0 0.00020022392272949218
17 0.0 0.0 0.0
18 0.0 0.0 0.0
19 0.0 0.0 0.00020022392272949218
20 0.00019998550415039061 0.0 0.0
21 0.00020022392272949218 0.0 0.0
22 0.00020012855529785156 0.0 0.0
23 0.0 0.00020022392272949218 0.0
24 0.00020012855529785156 0.0 0.0
25 0.000199127197265625 0.0 0.0
26 0.0001976490020751953 0.0 0.00020008087158203126
27 0.0 0.00020017623901367188 0.0
28 0.00020036697387695312 0.0 0.00019998550415039061
29 0.0002002716064453125 0.0 0.00020008087158203126
30 0.00020017623901367188 0.00020008087158203126 0.0
31 0.00020022392272949218 0.00020008087158203126 0.0
32 0.0004002094268798828 0.0 0.00019774436950683593
33 0.00020008087158203126 0.00020008087158203126 0.0
34 0.00040283203125 0.00020022392272949218 0.0
35 0.00020003318786621094 0.00020022392272949218 0.00020012855529785156
36 0.00020003318786621094 0.0004008769989013672 0.0
37 0.00020012855529785156 0.00020008087158203126 0.00020284652709960936
38 0.0004002571105957031 0.00020017623901367188 0.0
39 0.00040268898010253906 0.00020008087158203126 0.00019779205322265626
40 0.00040254592895507815 0.0004002094268798828 0.0
41 0.0004002571105957031 0.0004028797149658203 0.0
42 0.00040030479431152344 0.00040035247802734376 0.0
43 0.0006028175354003906 0.00040035247802734376 0.0
44 0.0006003856658935546 0.000400543212890625 0.00020265579223632812
45 0.0006011009216308593 0.0003974437713623047 0.0
46 0.000800466537475586 0.00040063858032226565 0.0
47 0.0008000373840332031 0.0005984783172607421 0.0
48 0.0008006095886230469 0.0006003379821777344 0.0
49 0.000997304916381836 0.00040268898010253906 0.00020017623901367188
50 0.0008005619049072266 0.000600433349609375 0.00020012855529785156
51 0.000798177719116211 0.0006038665771484375 0.0001990795135498047
52 0.0008005619049072266 0.0008005619049072266 0.00020012855529785156
53 0.001000690460205078 0.0008006572723388671 0.0
54 0.0012009143829345703 0.0006003379821777344 0.00020017623901367188
55 0.0012042999267578125 0.0006004810333251953 0.0001991748809814453
56 0.0011983394622802734 0.0010006427764892578 0.0
57 0.0012008190155029298 0.001000690460205078 0.00020012855529785156
58 0.0014009475708007812 0.0008005619049072266 0.00020017623901367188
59 0.001402139663696289 0.000999593734741211 0.0
60 0.0016034603118896484 0.0010005950927734375 0.0
61 0.001600933074951172 0.0010004043579101562 0.0
62 0.0016012191772460938 0.0012008190155029298 0.0
63 0.0020014286041259766 0.001000690460205078 0.00020012855529785156
64 0.0018016815185546875 0.0014009952545166015 0.0
65 0.002001237869262695 0.0014010429382324218 0.0
66 0.002001380920410156 0.0014009952545166015 0.0
67 0.0020016193389892577 0.0014007091522216797 0.00020012855529785156
68 0.0023993492126464845 0.001403474807739258 0.00020012855529785156
69 0.0022014617919921876 0.0014009952545166015 0.00020012855529785156
70 0.0024017333984375 0.001400899887084961 0.0002002716064453125
71 0.002601814270019531 0.0016011238098144532 0.00020012855529785156
72 0.0028045177459716797 0.0018012523651123047 0.0
73 0.002604246139526367 0.0018011569976806641 0.00020012855529785156
74 0.0026016712188720705 0.0018012523651123047 0.00020012855529785156
75 0.0028018951416015625 0.002001523971557617 0.00020008087158203126
76 0.003203153610229492 0.001800394058227539 0.00020022392272949218
77 0.003202199935913086 0.0020014286041259766 0.00020012855529785156
78 0.003602123260498047 0.0020017623901367188 0.00019998550415039061
79 0.0032021522521972655 0.0022015094757080076 0.00020022392272949218
80 0.003802633285522461 0.002201557159423828 0.00020012855529785156
81 0.003802585601806641 0.002601766586303711 0.00020017623901367188
82 0.003802585601806641 0.002398777008056641 0.00020022392272949218
83 0.004200458526611328 0.002603912353515625 0.00020008087158203126
